breadcrumb_category,category,product_name,pricing,image_urls,descriptions_title,descriptions,description_itemized,sizes,tags
"戻る,ユニセックス,シューズ・靴,スニーカー,オリジナルス,キャンパス,キャンパス 80s / Campus 80s",None オリジナルス,キャンパス 80s / Campus 80s,"10,010","https://shop.adidas.jp/photo/GY/GY4598/s-GY4598-standard-side_lateral_center_view-Yu2tsv40Sd.jpg, https://shop.adidas.jp/photo/GY/GY4598/s-GY4598-standard-top_portrait_view-UGUwwy3wY8.jpg, https://shop.adidas.jp/photo/GY/GY4598/s-GY4598-standard-bottom_view-p62S5XIA94.jpg, https://shop.adidas.jp/photo/GY/GY4598/s-GY4598-standard-front_lateral_top_view-ISuXSGXbrm.jpg, https://shop.adidas.jp/photo/GY/GY4598/s-GY4598-standard-back_lateral_top_view-K96H5vA6S5.jpg, https://shop.adidas.jp/photo/GY/GY4598/s-GY4598-standard-side_medial_center_view-NjDFdw27hd.jpg, https://shop.adidas.jp/photo/GY/GY4598/s-GY4598-standard-mirrored_pair_view-kImKzPhC06.jpg, https://shop.adidas.jp/photo/GY/GY4598/s-GY4598-standard-detail_view_1-0w28CmFHB1.jpg",ロサンゼルスのカルチャーにスポットライトを当てたキャンパス。,世界中のサブカルチャーシーンでも定番になった、アディダスのアイコン、キャンパス。デザインしたのはアディダスだけれど、シューズをそんな特別な存在にしたのはコミュニティ。それが、このバージョンが、活気に満ちたカルチャーと芸術的スピリットで知られる都市、ロサンゼルスをトリビュートするデザインになった理由。色使い、パターン、独特なディテールをミックスさせたデザインは、この街を象徴するフリーマーケットがインスピレーション源。柔らかくプレミアムな質感のレザーライニングが足を包む。,"レギュラーフィット,シューレースクロージャー,テキスタイルアッパー,レザーライニング,ラバーアウトソール","22.0cm,22.5cm,23.0cm,23.5cm,24.0cm,24.5cm,25.0cm,25.5cm,26.0cm,26.5cm,27.0cm,27.5cm,28.0cm,28.5cm,29.0cm,29.5cm,30.0cm","シューズ・靴,スニーカー,オリジナルス,キャンパス,ローカット,LPW00"
"戻る,ユニセックス,シューズ・靴,スニーカー,オリジナルス,キャンパス,キャンパス2.0 / Campus 2.0",None オリジナルス,キャンパス2.0 / Campus 2.0,"12,100","https://shop.adidas.jp/photo/ID/ID9839/s-ID9839-standard-side_lateral_center_view-EAhXDP5RTk.jpg, https://shop.adidas.jp/photo/ID/ID9839/s-ID9839-standard-top_portrait_view-J3Cx6Ad7iO.jpg, https://shop.adidas.jp/photo/ID/ID9839/s-ID9839-standard-bottom_view-GkYd6IQbso.jpg, https://shop.adidas.jp/photo/ID/ID9839/s-ID9839-standard-front_lateral_top_view-uEGhEe3H5F.jpg, https://shop.adidas.jp/photo/ID/ID9839/s-ID9839-standard-back_lateral_top_view-CsVcd3LKPp.jpg, https://shop.adidas.jp/photo/ID/ID9839/s-ID9839-standard-side_medial_center_view-TpVkWkKseO.jpg, https://shop.adidas.jp/photo/ID/ID9839/s-ID9839-standard-detail_view_1-9EVtbBPvYK.jpg, https://shop.adidas.jp/photo/ID/ID9839/s-ID9839-standard-detail_view_2-FpDe7qmD2v.jpg",シンプルさを極めたクラシックシューズ。,バスケットボールコートからミュージックシーン、そして日常生活まで、どんなシーンでも頼りになるアディダス キャンパスシューズ。今季モデルは、クラシックなキャンパスカラーはそのままに、シルクスエードでアッパーを一新している。オリジナルモデルのDNAを受け継ぎながら、シグネチャーのスリーストライプスと新しいブランディングをあしらって、コンテンポラリーかつタイムレスなスタイルに仕上げている。至ってシンプル。,"レギュラーフィット,シューレースクロージャー,シルクスエードアッパー,テキスタイルライニング,ラバーアウトソール","22.0cm,22.5cm,23.0cm,23.5cm,24.0cm,24.5cm,25.0cm,25.5cm,26.0cm,26.5cm,27.0cm,27.5cm,28.0cm,28.5cm,29.0cm,29.5cm,30.0cm","シューズ・靴,スニーカー,オリジナルス,キャンパス,ローカット,MAX00"
"戻る,ユニセックス,シューズ・靴,スニーカー,オリジナルス,キャンパス,キャンパス 80s / Campus 80s",None オリジナルス,キャンパス 80s / Campus 80s,"15,400","https://shop.adidas.jp/photo/FZ/FZ6154/s-FZ6154-standard-side_lateral_center_view-LWJ4jH6O0S.jpg, https://shop.adidas.jp/photo/FZ/FZ6154/s-FZ6154-standard-top_portrait_view-sT58G3QPlc.jpg, https://shop.adidas.jp/photo/FZ/FZ6154/s-FZ6154-standard-bottom_view-aIT0l87SJT.jpg, https://shop.adidas.jp/photo/FZ/FZ6154/s-FZ6154-standard-front_lateral_top_view-9FTYWdf3xE.jpg, https://shop.adidas.jp/photo/FZ/FZ6154/s-FZ6154-standard-back_lateral_top_view-AscU4CW1rT.jpg, https://shop.adidas.jp/photo/FZ/FZ6154/s-FZ6154-standard-side_medial_center_view-f6OnSDog6A.jpg, https://shop.adidas.jp/photo/FZ/FZ6154/s-FZ6154-standard-mirrored_pair_view-1HS0xjxcUz.jpg, https://shop.adidas.jp/photo/FZ/FZ6154/s-FZ6154-standard-detail_view_1-xoemccNFhB.jpg",タイムレスなキャンパスのデザインにオマージュを捧げる一足。,アディダス オリジナルスのアイコンであり、サブカルチャーとファッションのパイオニアたちのお気に入り。キャンパススニーカーは、その控えめなデザインとレトロな雰囲気溢れるスタイルで、カルチャーシーンに影響を与えてきた。このモデルは、そんなレガシーを讃えてこれまでの要素を継承。上質なヌバックアッパーにコントラストカラーのスリーストライプスを配して、贅沢なレザーライニングとラバーアウトソールを合わせている。キャンパスファンに愛されるディテールが全て詰まった一足。,"シューレースクロージャー,ヌバックアッパー,レザーライニング,ラバーアウトソール","22.0cm,22.5cm,23.0cm,23.5cm,24.0cm,24.5cm,25.0cm,25.5cm,26.0cm,26.5cm,27.0cm,27.5cm,28.0cm,28.5cm,29.0cm,29.5cm,30.0cm","シューズ・靴,スニーカー,オリジナルス,キャンパス,ローカット,LRE82"
"戻る,ユニセックス,シューズ・靴,スニーカー,オリジナルス,NMD,NMD S1,NMD_S1",None オリジナルス,NMD_S1,"23,100","https://shop.adidas.jp/photo/FZ/FZ5706/s-FZ5706-standard-side_lateral_center_view-Nq9qr6938s.jpg, https://shop.adidas.jp/photo/FZ/FZ5706/s-FZ5706-standard-top_portrait_view-uDoBYzkieB.jpg, https://shop.adidas.jp/photo/FZ/FZ5706/s-FZ5706-standard-bottom_view-RkkNqk2JeK.jpg, https://shop.adidas.jp/photo/FZ/FZ5706/s-FZ5706-standard-front_lateral_top_view-JExldjPyPB.jpg, https://shop.adidas.jp/photo/FZ/FZ5706/s-FZ5706-standard-back_lateral_top_view-vZuwjKpFTI.jpg, https://shop.adidas.jp/photo/FZ/FZ5706/s-FZ5706-standard-side_medial_center_view-yLLbMaTpYH.jpg, https://shop.adidas.jp/photo/FZ/FZ5706/s-FZ5706-standard-mirrored_pair_view-Sx1StszCHL.jpg, https://shop.adidas.jp/photo/FZ/FZ5706/s-FZ5706-standard-detail_view_1-X34PhC8v24.jpg",パーレイ・オーシャン・プラスチックを一部用いたミニマルな一足。,このアディダス シューズは、雲の上を歩いているかのような心地よさと、地面に吸い付くような足裏の安定感が自慢。靴下のように快適なフィット感のアッパーを搭載し、半透明のカプセルに閉じ込めたようなデザインのBOOSTクッションにミッドソールプラグを備えて、一歩一歩に推進力を感じられる履き心地に仕上げている。刻々と変化する街に住んでいても、自分らしさを見失うことなく、もっと外に出て、いろんな体験を楽しもうというメッセージが込められた一足。,"レギュラーフィット,バンジーコードのシューレース,テキスタイルアッパー,靴下のようなフィット感,テキスタイルライニング,BOOSTミッドソール / TPUプラグ,ラバーアウトソール,アッパーに使用されている糸は、50%以上がパーレイ・オーシャン・プラスチック製、残りの約50%がリサイクルポリエステル製","22.0cm,22.5cm,23.0cm,23.5cm,24.0cm,24.5cm,25.0cm,25.5cm,26.0cm,26.5cm,27.0cm,27.5cm,28.0cm,28.5cm,29.0cm,29.5cm,30.0cm","シューズ・靴,スニーカー,オリジナルス,NMD,NMD S1,ローカット,ブースト,パーレイ,プライムブルー,リサイクル素材,MDE35"
"戻る,ユニセックス,シューズ・靴,スニーカー,オリジナルス,キャンパス,キャンパス2.0 / Campus 2.0",None オリジナルス,キャンパス2.0 / Campus 2.0,"12,100","https://shop.adidas.jp/photo/ID/ID9842/s-ID9842-standard-side_lateral_center_view-Zed0DQGjHu.jpg, https://shop.adidas.jp/photo/ID/ID9842/s-ID9842-standard-top_portrait_view-PwmsbHaWa1.jpg, https://shop.adidas.jp/photo/ID/ID9842/s-ID9842-standard-bottom_view-eTOnPtGwe4.jpg, https://shop.adidas.jp/photo/ID/ID9842/s-ID9842-standard-front_lateral_top_view-HFGRqNBCK6.jpg, https://shop.adidas.jp/photo/ID/ID9842/s-ID9842-standard-back_lateral_top_view-XevASny8fO.jpg, https://shop.adidas.jp/photo/ID/ID9842/s-ID9842-standard-side_medial_center_view-JDjwMrMXIL.jpg, https://shop.adidas.jp/photo/ID/ID9842/s-ID9842-standard-detail_view_1-K3p2NIOnhV.jpg, https://shop.adidas.jp/photo/ID/ID9842/s-ID9842-standard-detail_view_2-omvhK7i44q.jpg",シンプルさを極めたクラシックシューズ。,バスケットボールコートからミュージックシーン、そして日常生活まで、どんなシーンでも頼りになるアディダス キャンパスシューズ。今季モデルは、クラシックなキャンパスカラーはそのままに、シルクスエードでアッパーを一新している。オリジナルモデルのDNAを受け継ぎながら、シグネチャーのスリーストライプスと新しいブランディングをあしらって、コンテンポラリーかつタイムレスなスタイルに仕上げている。至ってシンプル。,"レギュラーフィット,シューレースクロージャー,シルクスエードアッパー,テキスタイルライニング,ラバーアウトソール","22.0cm,22.5cm,23.0cm,23.5cm,24.0cm,24.5cm,25.0cm,25.5cm,26.0cm,26.5cm,27.0cm,27.5cm,28.0cm,28.5cm,29.0cm,29.5cm,30.0cm","シューズ・靴,スニーカー,オリジナルス,キャンパス,ローカット,MAX00"
"戻る,ユニセックス,シューズ・靴,スニーカー,オリジナルス,キャンパス,キャンパス / Campus",None オリジナルス,キャンパス / Campus,"15,400","https://shop.adidas.jp/photo/GX/GX7330/s-GX7330-standard-side_lateral_center_view-vjZ5MwfRXo.jpg, https://shop.adidas.jp/photo/GX/GX7330/s-GX7330-standard-top_portrait_view-0f3gLWuS4Y.jpg, https://shop.adidas.jp/photo/GX/GX7330/s-GX7330-standard-bottom_view-fcPxXRvFDu.jpg, https://shop.adidas.jp/photo/GX/GX7330/s-GX7330-standard-front_lateral_top_view-pkhgNviMot.jpg, https://shop.adidas.jp/photo/GX/GX7330/s-GX7330-standard-back_lateral_top_view-XBbFF4MHek.jpg, https://shop.adidas.jp/photo/GX/GX7330/s-GX7330-standard-side_medial_center_view-2PArZ4YnTQ.jpg, https://shop.adidas.jp/photo/GX/GX7330/s-GX7330-standard-mirrored_pair_view-lW57x48luR.jpg, https://shop.adidas.jp/photo/GX/GX7330/s-GX7330-standard-detail_view_1-rW3gVgsdug.jpg",ラグジュアリーなレザーを纏った、定番アディダス キャンパス。,バスケットボールシューズとして作られた後、サブカルチャーシーンで再評価された真のアイコン、キャンパス。まさに永遠のクラシックシューズ。このモデルは、上質なレザーアッパーに滑らかで肌ざわりの良いレザーライニングを合わせている。,"レザーアッパー,レザーライニング,ラバーアウトソール","22.0cm,22.5cm,23.0cm,23.5cm,24.0cm,24.5cm,25.0cm,25.5cm,26.0cm,26.5cm,27.0cm,27.5cm,28.0cm,28.5cm,29.0cm,29.5cm,30.0cm","シューズ・靴,スニーカー,オリジナルス,キャンパス,ローカット,LRE81"
"戻る,ユニセックス,シューズ・靴,スニーカー,オリジナルス,キャンパス,キャンパス 00s,キャンパス 00s / Campus 00s",None オリジナルス,キャンパス 00s / Campus 00s,"13,200","https://shop.adidas.jp/photo/HQ/HQ8711/s-HQ8711-standard-side_lateral_center_view-oInoe9Sen3.jpg, https://shop.adidas.jp/photo/HQ/HQ8711/s-HQ8711-standard-top_portrait_view-n4FkOphtqY.jpg, https://shop.adidas.jp/photo/HQ/HQ8711/s-HQ8711-standard-bottom_view-3PtUo5ckGW.jpg, https://shop.adidas.jp/photo/HQ/HQ8711/s-HQ8711-standard-front_lateral_top_view-mltm51FTMp.jpg, https://shop.adidas.jp/photo/HQ/HQ8711/s-HQ8711-standard-back_lateral_top_view-lg5VxJF29y.jpg, https://shop.adidas.jp/photo/HQ/HQ8711/s-HQ8711-standard-side_medial_center_view-52bJnB4yyB.jpg, https://shop.adidas.jp/photo/HQ/HQ8711/s-HQ8711-standard-mirrored_pair_view-RWEj3mzk4J.jpg, https://shop.adidas.jp/photo/HQ/HQ8711/s-HQ8711-standard-laces_view-ICzrfU2AJv.jpg",現代のマインドセットにマッチするように再構築したクラシックシューズ。,プロポーションが大きくなるにつれ、人はますます大胆になっていく。現代のマインドセットからインスピレーションを得て、今のスタイルとカルチャーにマッチする新鮮なルックスと、アイコニックなアディダス キャンパス 80sをリミックスしたのがこのモデル。レザーアッパーは、プロポーションと配色をアップデート。クラシックなスリーストライプスとY2Kスタイルのブランディングが、新たな「キャンパス」のアイデンティティを作り上げる。,"レギュラーフィット,シューレースクロージャー,レザーアッパー,テキスタイルライニング,ラバーアウトソール","22.0cm,22.5cm,23.0cm,23.5cm,24.0cm,24.5cm,25.0cm,25.5cm,26.0cm,26.5cm,27.0cm,27.5cm,28.0cm,28.5cm,29.0cm,29.5cm,30.0cm","シューズ・靴,スニーカー,オリジナルス,キャンパス,キャンパス 00s,ローカット,MBV20"
"戻る,ユニセックス,シューズ・靴,スニーカー,オリジナルス,スーパースター,スーパースター / Superstar",None オリジナルス,スーパースター / Superstar,"10,010","https://shop.adidas.jp/photo/HP/HP7830/s-HP7830-02-4e5hsoy0lx.jpg, https://shop.adidas.jp/photo/HP/HP7830/s-HP7830-03-5wEsXXCZez.jpg, https://shop.adidas.jp/photo/HP/HP7830/s-HP7830-04-5VjJpBOa7B.jpg, https://shop.adidas.jp/photo/HP/HP7830/s-HP7830-05-C6U2r7dJPy.jpg, https://shop.adidas.jp/photo/HP/HP7830/s-HP7830-06-4wRr3xoeg2.jpg, https://shop.adidas.jp/photo/HP/HP7830/s-HP7830-07-aHXXBO0DUm.jpg, https://shop.adidas.jp/photo/HP/HP7830/s-HP7830-08-Ek2oRE0wKE.jpg, https://shop.adidas.jp/photo/HP/HP7830/s-HP7830-09-HKTLtON8Zr.jpg",リサイクル素材を一部用い、新鮮な魅力を添えたタイムレスなスニーカー。,アイコンシューズに合わないものはない。最初はバスケットボールプレーヤーたちに愛用され、その後スケーターからファッショニスタまで、幅広い層に愛されてきたこのスニーカーは、まさにアイコニック。50年以上にわたり、履く人一人ひとりに脈々と受け継がれているレガシーとも言える。今度はキミが、このシューズを履いて、このストーリーを自分なりに紡いでいく番。リサイクル素材を使用して作られたこのシューズを履いて、地球の未来を変える取り組みにも貢献しよう。,"シューレースクロージャー,レザーアッパー,テキスタイルライニング,ラバーアウトソール,アッパーのリサイクル素材含有率は50%以上","22.0cm,22.5cm,23.0cm,23.5cm,24.0cm,24.5cm,25.0cm,25.5cm,26.0cm,26.5cm,27.0cm,27.5cm,28.0cm,28.5cm,29.0cm,29.5cm","シューズ・靴,スニーカー,オリジナルス,スーパースター,ローカット,LSJ29"
"戻る,ユニセックス,シューズ・靴,スニーカー,オリジナルス,スーパースター,スーパースター / Superstar",None オリジナルス,スーパースター / Superstar,"10,010","https://shop.adidas.jp/photo/GW/GW1794/s-GW1794-standard-side_lateral_center_view.jpg, https://shop.adidas.jphttps://assets.adidas.com/videos/w_170/885447f4697e43638695ae29012fcb14_d98c/GW1794_product_video.jpg, https://shop.adidas.jp/photo/GW/GW1794/s-GW1794-on_model-front_view.jpg, https://shop.adidas.jp/photo/GW/GW1794/s-GW1794-standard-top_portrait_view.jpg, https://shop.adidas.jp/photo/GW/GW1794/s-GW1794-standard-bottom_view.jpg, https://shop.adidas.jp/photo/GW/GW1794/s-GW1794-standard-front_lateral_top_view.jpg, https://shop.adidas.jp/photo/GW/GW1794/s-GW1794-standard-back_lateral_top_view.jpg, https://shop.adidas.jp/photo/GW/GW1794/s-GW1794-standard-side_medial_center_view.jpg",リサイクル素材を一部使用したビンテージ調のスーパースター。,いつだって、どんなシーンにもマッチするスーパースター。それは50年以上にわたって証明されてきたこと。バスケットボールコートで、ステージで、そしてストリートで。どんなシーンでも存在感を見せてきた。今季のラバーシェルトゥスニーカーは、アーカイブをヒントにビンテージ調のデザインを控えめに取り入れて一新している。　※「Super Star」は、株式会社ムーンスターの日本における登録商標です。,"シューレースクロージャー,フルグレインレザーのアッパー,テキスタイルライニング,ラバーアウトソール,アッパー構成パーツの25%が、リサイクル材料含有率50%以上の素材で作られている","22.0cm,22.5cm,23.0cm,23.5cm,24.0cm,24.5cm,25.0cm,25.5cm,26.0cm,26.5cm,27.0cm,27.5cm,28.0cm,28.5cm,29.0cm,29.5cm,30.0cm","シューズ・靴,スニーカー,オリジナルス,スーパースター,ローカット,LKS33"
"戻る,レディース,シューズ・靴,スニーカー,オリジナルス,Watch Us Move  ウォッチアスムーブ,フォーラムボールド / ForumBold",レディース オリジナルス,フォーラムボールド / ForumBold,"13,200","https://shop.adidas.jp/photo/GY/GY5921/s-GY5921-standard-side_lateral_center_view.jpg, https://shop.adidas.jp/photo/GY/GY5921/s-GY5921-71-xGHvt2rrVo.jpg, https://shop.adidas.jp/photo/GY/GY5921/s-GY5921-72-CAEq4Xi1Rn.jpg, https://shop.adidas.jp/photo/GY/GY5921/s-GY5921-73-kXZ0bnRlFc.jpg, https://shop.adidas.jp/photo/GY/GY5921/s-GY5921-74-UtoxivTht6.jpg, https://shop.adidas.jp/photo/GY/GY5921/s-GY5921-75-HXerp8lANr.jpg, https://shop.adidas.jp/photo/GY/GY5921/s-GY5921-76-vdGNwJLyL2.jpg, https://shop.adidas.jp/photo/GY/GY5921/s-GY5921-77-3E7bMMo3Oo.jpg",プラットフォームアウトソールが新しい、コーティングレザーのバッシュ。,1984年にローンチし、後にストリートシンボルとなった名作バスケットボールシューズを再構築したウィメンズ向けの一足。オリジナルモデルと同じ足首のXデザイン、そしてコーティングレザーのアッパーと高めのプラットフォームのソールを合わせたデザイン。,"レギュラーフィット,シューレースクロージャー,レザーアッパー,合成皮革ライニング,メッシュ製ソックライナー,ラバープラットフォームアウトソール","22.0cm,22.5cm,23.0cm,23.5cm,24.0cm,24.5cm,25.0cm,25.5cm,26.0cm,26.5cm,27.0cm,27.5cm,28.0cm","シューズ・靴,スニーカー,オリジナルス,バスケットボール,Watch Us Move  ウォッチアスムーブ,フォーラム,ローカット,バスケットボールシューズ・靴,FA0105"
"戻る,ユニセックス,シューズ・靴,スニーカー,オリジナルス,フォーラム,フォーラム84,フォーラム OG 84 ロー LG / FORUM OG 84 LO LG",None オリジナルス,フォーラム OG 84 ロー LG / FORUM OG 84 LO LG,"17,600","https://shop.adidas.jp/photo/GZ/GZ1893/s-GZ1893-standard-side_lateral_center_view.jpg, https://shop.adidas.jp/photo/GZ/GZ1893/s-GZ1893-standard-top_portrait_view.jpg, https://shop.adidas.jp/photo/GZ/GZ1893/s-GZ1893-standard-bottom_view.jpg, https://shop.adidas.jp/photo/GZ/GZ1893/s-GZ1893-standard-front_lateral_top_view.jpg, https://shop.adidas.jp/photo/GZ/GZ1893/s-GZ1893-standard-back_lateral_top_view.jpg, https://shop.adidas.jp/photo/GZ/GZ1893/s-GZ1893-standard-side_medial_center_view.jpg, https://shop.adidas.jp/photo/GZ/GZ1893/s-GZ1893-standard-pair_view.jpg, https://shop.adidas.jp/photo/GZ/GZ1893/s-GZ1893-standard-mirrored_pair_view.jpg",プレミアムなハンドクラフトタッチを添えたフォーラム。,どのアイコンにも、原点がある。アディダス フォーラムは、80年代のバスケットボールコート。当時のトッププレーヤーたちが、この革新的なシューズを履いてトレーニングを積み、プレーに励み、スキルを磨き、それがいつしか偉大なレガシーに。その人気は今も変わらない。上質なレザーアッパーやラバーソールなどのクラシックなディテールはそのままに、84年に登場したアイコニックなブルーで仕上げている。,"レギュラーフィット,レザーアッパー,合成皮革ライニング,メッシュ製ソックライナー,ラバーアウトソール","22.0cm,22.5cm,23.0cm,23.5cm,24.0cm,24.5cm,25.0cm,25.5cm,26.0cm,26.5cm,27.0cm,27.5cm,28.0cm,28.5cm,29.0cm,29.5cm,30.0cm","シューズ・靴,スニーカー,オリジナルス,バスケットボール,フォーラム,フォーラム84,ローカット,バスケットボールシューズ・靴,LPZ96"
"戻る,ユニセックス,シューズ・靴,スニーカー,オリジナルス,フォーラム,フォーラム84,フォーラム 84 ロー AEC / Forum 84 Low AEC",None オリジナルス,フォーラム 84 ロー AEC / Forum 84 Low AEC,"22,000","https://shop.adidas.jp/photo/HR/HR0558/s-HR0558-standard-side_lateral_center_view-XfYB62Kkm0.jpg, https://shop.adidas.jp/photo/HR/HR0558/s-HR0558-standard-top_portrait_view-HjiN0fTlw7.jpg, https://shop.adidas.jp/photo/HR/HR0558/s-HR0558-standard-bottom_view-kujB2zcaxe.jpg, https://shop.adidas.jp/photo/HR/HR0558/s-HR0558-standard-front_lateral_top_view-iDzQiq9MyZ.jpg, https://shop.adidas.jp/photo/HR/HR0558/s-HR0558-standard-back_lateral_top_view-uP6Gg8UN6n.jpg, https://shop.adidas.jp/photo/HR/HR0558/s-HR0558-standard-side_medial_center_view-G2g79s81Pq.jpg, https://shop.adidas.jp/photo/HR/HR0558/s-HR0558-standard-mirrored_pair_view-QXXaGRWtKk.jpg, https://shop.adidas.jp/photo/HR/HR0558/s-HR0558-standard-detail_view_1-Y5VLFSCHsk.jpg",リサイクル素材を一部使用した、愛着感じるフォーラムシューズ。,このフォーラムシューズは、1984年モデルを忠実に復刻。単にオリジナルモデルと同じディテール、柄、素材を採用しているだけでなく、まるで何十年も履いているかのような雰囲気に見せるため、意図的なデザインが施されている。ハンド加工した上質なレザーアッパーに、ナイロンのアクセントと合成皮革のライニングを合わせている。,"レギュラーフィット,調節可能なストラップ付きのシューレースクロージャー,レザーとナイロンのアッパー,合成皮革ライニング,メッシュ製ソックライナー,ラバーアウトソール,アッパーパーツの25%が、リサイクル材料含有率50%以上の素材で作られている","22.5cm,23.0cm,23.5cm,24.0cm,24.5cm,25.0cm,25.5cm,26.0cm,26.5cm,27.0cm,27.5cm,28.0cm,28.5cm,29.0cm,29.5cm","シューズ・靴,スニーカー,オリジナルス,バスケットボール,フォーラム,フォーラム84,ローカット,バスケットボールシューズ・靴,LSF30"
"戻る,ユニセックス,シューズ・靴,スニーカー,オリジナルス,スーパースター,スーパースター / Superstar",None オリジナルス,スーパースター / Superstar,"6,749","https://shop.adidas.jp/photo/GZ/GZ0865/s-GZ0865-standard-side_lateral_center_view.jpg, https://shop.adidas.jp/photo/GZ/GZ0865/s-GZ0865-standard-top_portrait_view.jpg, https://shop.adidas.jp/photo/GZ/GZ0865/s-GZ0865-standard-bottom_view.jpg, https://shop.adidas.jp/photo/GZ/GZ0865/s-GZ0865-standard-front_lateral_top_view.jpg, https://shop.adidas.jp/photo/GZ/GZ0865/s-GZ0865-standard-back_lateral_top_view.jpg, https://shop.adidas.jp/photo/GZ/GZ0865/s-GZ0865-standard-side_medial_center_view.jpg, https://shop.adidas.jp/photo/GZ/GZ0865/s-GZ0865-standard-mirrored_pair_view.jpg, https://shop.adidas.jp/photo/GZ/GZ0865/s-GZ0865-standard-detail_view_1.jpg",永遠にフレッシュなアイコンをリサイクル素材を一部使用して一新。,細部へのこだわりが見違えるルックスを生み出す。このアディダス スーパースターがその好例。初めてのローカットバスケットボールシューズとしてリリースされてから、その人気は誰にも止められない。コートを席巻したレジェンドは、ヒップホップアーティストのステージも飾り、進化を続けている。このモデルは、ギザギザのスリーストライプス、パーフォレーションなどはオリジナルデザインを忠実に踏襲しながら、鮮やかな差し色でスタイルを格上げ。 ,"レギュラーフィット,シューレースクロージャー,合成アッパー,合成ライニング,ラバーアウトソール,アッパー構成パーツの25%に、リサイクル材料含有率50%以上の素材を使用","22.0cm,22.5cm,23.0cm,23.5cm,24.0cm,24.5cm,25.0cm,25.5cm,26.0cm,26.5cm,27.0cm,27.5cm,28.0cm","シューズ・靴,スニーカー,オリジナルス,スーパースター,スリー ストライプス,ローカット,LWC37"
"戻る,ユニセックス,シューズ・靴,スニーカー,オリジナルス,フォーラム,フォーラム84,フォーラム 84 ローADV / Forum 84 LowADV",None オリジナルス,フォーラム 84 ローADV / Forum 84 LowADV,"13,200","https://shop.adidas.jp/photo/HP/HP9089/s-HP9089-standard-side_lateral_center_view-l0xnOKxR5d.jpg, https://shop.adidas.jp/photo/HP/HP9089/s-HP9089-standard-top_portrait_view-CfsODhUwYB.jpg, https://shop.adidas.jp/photo/HP/HP9089/s-HP9089-standard-bottom_view-wI6fIoBYHu.jpg, https://shop.adidas.jp/photo/HP/HP9089/s-HP9089-standard-front_lateral_top_view-vb7280nZzY.jpg, https://shop.adidas.jp/photo/HP/HP9089/s-HP9089-standard-back_lateral_top_view-0hp5Tp4Hmn.jpg, https://shop.adidas.jp/photo/HP/HP9089/s-HP9089-standard-side_medial_center_view-VLuLFs1pIk.jpg, https://shop.adidas.jp/photo/HP/HP9089/s-HP9089-standard-mirrored_pair_view-3fds8M2ouC.jpg, https://shop.adidas.jp/photo/HP/HP9089/s-HP9089-standard-laces_view-Jz4SRJvb5y.jpg",デイリーに活躍する、反転デザインのフォーラム 84 ロー。,"クラシックなバッシュのアイコニックな配色を反転させ、スケートボーディング用のADVテクノロジーを搭載した、フォーラム 84 ローADVが登場。""Mirrored Lines""パックのひとつであるこのシューズは、安定性のあるミッドソール、グリップ力に優れたカップソール、反転させたラベルとブランディングが特徴。プレミアムレザーを採用した構造で、モダンなスケートボーディングのための履き心地の良さと機能性を備えている。","レギュラーフィット,シューレースクロージャー,レザーとスエードのアッパー,テキスタイルライニング,adiPRENEクッショニング,ラバーカップソール","23.5cm,24.5cm,25.5cm,26.0cm,26.5cm,27.0cm,27.5cm,28.0cm,28.5cm,29.0cm,29.5cm","シューズ・靴,スニーカー,オリジナルス,バスケットボール,フォーラム,フォーラム84,ローカット,アディプリン,バスケットボールシューズ・靴,LSJ61"
